"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"US_01.06 | Markets > Menu item [Cryptocurrencies]","Role: NoReg","Country: de / Language: nl","3","0","2","0","0"
"US_11.02.02 | Education > Menu item [Shares trading]","Role: NoReg","Country: de / Language: nl","0","0","0","7","0"
"US_11.00.01 | Learn to trade > Menu item [Essentials of trading]","Role: NoReg","Country: de / Language: nl","0","0","0","5","0"
"US_11.00.00 | Learn to trade","Role: NoAuth","Country: de / Language: nl","0","0","0","3","0"
"US_11.00.04 | Learn to trade > Menu item [Trading Strategies]","Role: NoAuth","Country: de / Language: nl","0","0","0","3","0"
"US_11.02.06 | Education > Menu item [Indices Trading]","Role: NoAuth","Country: de / Language: nl","0","0","0","7","0"
"US_11.00.03 | Learn to trade > Menu item [Market guides]","Role: NoReg","Country: de / Language: nl","0","0","0","3","0"
"US_11.01.03 | Education > Menu item [CFD trading guide]","Role: NoReg","Country: de / Language: nl","0","0","9","1","0"
"US_11.00.04 | Learn to trade > Menu item [Trading Strategies]","Role: Auth","Country: de / Language: nl","0","0","0","3","0"
"US_11.01.02 | Education > Menu Item [The basics of trading]","Role: NoReg","Country: de / Language: nl","0","0","1","0","0"
"US_11.02.04 | Education > Menu item [Forex trading]","Role: Auth","Country: de / Language: nl","0","0","0","7","0"
"US_11.00.01 | Learn to trade > Menu item [Essentials of trading]","Role: NoAuth","Country: de / Language: nl","0","0","0","5","0"
"US_11.00.02 | Learn to trade > Menu Item [Risk-management guide]","Role: Auth","Country: de / Language: nl","0","0","0","1","0"
"US_11.00.06 | Learn to trade > Menu Item [Help]","Role: Auth","Country: de / Language: nl","0","0","0","1","0"
"US_11.00.05 | Learn to trade > Menu Item [Technical analysis]","Role: NoReg","Country: de / Language: nl","0","0","0","1","0"
"US_11.01.01 | Education > Menu Item [Learning hub]","Role: NoAuth","Country: de / Language: nl","0","0","1","0","0"
"US_11.02.01 | Education > Menu Item [Market guides]","Role: NoReg","Country: de / Language: nl","0","0","1","0","0"
"US_11.00.06 | Learn to trade > Menu Item [Help]","Role: NoReg","Country: de / Language: nl","0","0","0","1","0"
"US_11.01.01 | Education > Menu Item [Learning hub]","Role: NoReg","Country: de / Language: nl","0","0","1","0","0"
"US_11.01.02 | Education > Menu Item [The basics of trading]","Role: NoAuth","Country: de / Language: nl","0","0","1","0","0"
"US_11.00.00 | Learn to trade","Role: NoReg","Country: de / Language: nl","0","0","0","3","0"
"US_11.00.02 | Learn to trade > Menu Item [Risk-management guide]","Role: NoReg","Country: de / Language: nl","0","0","0","1","0"
"US_11.00.05 | Learn to trade > Menu Item [Technical analysis]","Role: Auth","Country: de / Language: nl","0","0","0","1","0"
"US_11.02.01 | Education > Menu Item [Market guides]","Role: Auth","Country: de / Language: nl","0","0","1","0","0"
"US_11.00.02 | Learn to trade > Menu Item [Risk-management guide]","Role: NoAuth","Country: de / Language: nl","0","0","0","1","0"
"US_11.00.06 | Learn to trade > Menu Item [Help]","Role: NoAuth","Country: de / Language: nl","0","0","0","1","0"
