"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"US_00 | Main Page","Language: ar","Country: au / Role: Auth","5","0","8","61","0"
"US_11.00.04 | Learn to trade > Menu item [Trading Strategies]","Language: ar","Country: au / Role: NoAuth","0","0","0","3","0"
"US_11.00.00 | Learn to trade","Language: ar","Country: au / Role: NoReg","0","0","0","3","0"
"US_11.01.06 | Education > Menu item [Investmate app]","Language: ar","Country: au / Role: Auth","0","0","0","5","0"
"US_11.00.05 | Learn to trade > Menu Item [Technical analysis]","Language: ar","Country: au / Role: NoAuth","0","0","0","1","0"
"US_01.09 | Markets > Menu item [CFD Calculator]","Language: ar","Country: au / Role: NoReg","0","0","0","6","0"
"US_11.00.00 | Learn to trade","Language: ar","Country: au / Role: NoAuth","0","0","0","3","0"
"US_11.01.07 | Education > Menu item [Glossary of trading terms]","Language: ar","Country: au / Role: NoReg","0","0","0","2","0"
"US_11.02.02 | Education > Menu item [Shares trading]","Language: ar","Country: au / Role: NoAuth","3","0","2","2","0"
"US_11.02.07 | Education > Menu item [ETF trading]","Language: ar","Country: au / Role: NoAuth","2","0","2","0","0"
"US_11.02.01 | Education > Menu Item [Market guides]","Language: ar","Country: au / Role: NoReg","0","0","1","0","0"
"US_11.01.05 | Education > Menu Item [Trading courses]","Language: ar","Country: au / Role: NoReg","0","0","0","3","0"
"US_11.00.00 | Learn to trade","Language: ar","Country: au / Role: Auth","0","0","0","3","0"
"US_11.03.04 | Education > Menu item [Position Trading]","Language: ar","Country: au / Role: NoReg","0","0","0","7","0"
"US_11.03.05 | Education > Menu item [Swing Trading]","Language: ar","Country: au / Role: Auth","0","0","0","7","0"
"US_11.00.06 | Learn to trade > Menu Item [Help]","Language: ar","Country: au / Role: NoAuth","0","0","0","1","0"
"US_11.01.07 | Education > Menu item [Glossary of trading terms]","Language: ar","Country: au / Role: Auth","0","0","0","2","0"
"US_11.00.02 | Learn to trade > Menu Item [Risk-management guide]","Language: ar","Country: au / Role: Auth","0","0","0","1","0"
"US_11.02.01 | Education > Menu Item [Market guides]","Language: ar","Country: au / Role: NoAuth","0","0","1","0","0"
"US_11.00.05 | Learn to trade > Menu Item [Technical analysis]","Language: ar","Country: au / Role: NoReg","0","0","0","1","0"
"US_11.00.06 | Learn to trade > Menu Item [Help]","Language: ar","Country: au / Role: Auth","0","0","0","1","0"
"US_11.00.02 | Learn to trade > Menu Item [Risk-management guide]","Language: ar","Country: au / Role: NoReg","0","0","0","1","0"
"US_11.00.06 | Learn to trade > Menu Item [Help]","Language: ar","Country: au / Role: NoReg","0","0","0","1","0"
"US_11.01.01 | Education > Menu Item [Learning hub]","Language: ar","Country: au / Role: NoReg","0","0","1","0","0"
