"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"US_00 | Main Page","Language: pl","Country: ae / Role: NoAuth","8","0","8","58","0"
"US_11.00.06 | Learn to trade > Menu Item [Help]","Language: pl","Country: ae / Role: NoAuth","0","0","0","1","0"
"US_11.01.05 | Education > Menu Item [Trading courses]","Language: pl","Country: ae / Role: NoAuth","0","0","3","3","0"
"US_11.01.05 | Education > Menu Item [Trading courses]","Language: pl","Country: ae / Role: NoReg","0","0","4","2","0"
"US_11.00.04 | Learn to trade > Menu item [Trading Strategies]","Language: pl","Country: ae / Role: NoAuth","0","0","0","3","0"
"US_11.00.06 | Learn to trade > Menu Item [Help]","Language: pl","Country: ae / Role: NoReg","0","0","0","1","0"
"US_11.00.05 | Learn to trade > Menu Item [Technical analysis]","Language: pl","Country: ae / Role: NoReg","0","0","0","1","0"
"US_11.03.08 | Education > Menu item [Trading Psychology Guide]","Language: pl","Country: ae / Role: Auth","0","0","0","5","0"
"US_11.00.04 | Learn to trade > Menu item [Trading Strategies]","Language: pl","Country: ae / Role: NoReg","0","0","0","3","0"
"US_11.03.04 | Education > Menu item [Position Trading]","Language: pl","Country: ae / Role: NoAuth","0","0","0","7","0"
"US_11.01.02 | Education > Menu Item [The basics of trading]","Language: pl","Country: ae / Role: NoAuth","0","0","1","0","0"
"US_11.00.05 | Learn to trade > Menu Item [Technical analysis]","Language: pl","Country: ae / Role: Auth","0","0","0","1","0"
"US_01.09 | Markets > Menu item [CFD Calculator]","Language: pl","Country: ae / Role: Auth","0","0","0","6","0"
"US_11.02.07 | Education > Menu item [ETF trading]","Language: pl","Country: ae / Role: Auth","0","0","0","4","0"
"US_11.00.05 | Learn to trade > Menu Item [Technical analysis]","Language: pl","Country: ae / Role: NoAuth","0","0","0","1","0"
"US_11.00.02 | Learn to trade > Menu Item [Risk-management guide]","Language: pl","Country: ae / Role: Auth","0","0","0","1","0"
"US_11.01.01 | Education > Menu Item [Learning hub]","Language: pl","Country: ae / Role: NoReg","0","0","1","0","0"
"US_11.02.01 | Education > Menu Item [Market guides]","Language: pl","Country: ae / Role: NoReg","0","0","1","0","0"
