"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"US_11.01.07 | Education > Menu item [Glossary of trading terms]","Language: es","Country: ae / Role: NoAuth","0","0","2","1","0"
"US_11.02.01 | Education > Menu Item [Market guides]","Language: es","Country: ae / Role: NoAuth","0","0","1","0","0"
"US_11.00.05 | Learn to trade > Menu Item [Technical analysis]","Language: es","Country: ae / Role: NoReg","0","0","0","1","0"
"US_11.00.06 | Learn to trade > Menu Item [Help]","Language: es","Country: ae / Role: NoAuth","0","0","0","1","0"
"US_11.00.02 | Learn to trade > Menu Item [Risk-management guide]","Language: es","Country: ae / Role: Auth","0","0","0","1","0"
"US_11.00.06 | Learn to trade > Menu Item [Help]","Language: es","Country: ae / Role: NoReg","0","0","0","1","0"
"US_11.01.07 | Education > Menu item [Glossary of trading terms]","Language: es","Country: ae / Role: NoReg","0","0","2","1","0"
"US_11.02.07 | Education > Menu item [ETF trading]","Language: es","Country: ae / Role: NoReg","0","0","4","0","0"
"US_11.00.05 | Learn to trade > Menu Item [Technical analysis]","Language: es","Country: ae / Role: Auth","0","0","0","1","0"
"US_11.00.06 | Learn to trade > Menu Item [Help]","Language: es","Country: ae / Role: Auth","0","0","0","1","0"
