"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"US_01.05 | Markets > Menu item [Commodities]","Language: nl","Country: ae / Role: NoReg","1","10","9","1","0"
"US_11.03.03 | Education > Menu item [Trend Trading]","Language: nl","Country: ae / Role: Auth","0","0","0","7","0"
"US_11.03.03 | Education > Menu item [Trend Trading]","Language: nl","Country: au / Role: NoAuth","0","0","0","7","0"
"US_11.03.05 | Education > Menu item [Swing Trading]","Language: nl","Country: ae / Role: NoReg","0","0","0","7","0"
"US_11.03.08 | Education > Menu item [Trading Psychology Guide]","Language: nl","Country: de / Role: Auth","0","0","0","5","0"
"US_01.03 | Markets > Menu item [Forex]","Language: nl","Country: de / Role: Auth","5","7","3","0","0"
"US_01.04 | Markets > Menu item [Indices]","Language: nl","Country: au / Role: Auth","8","1","1","1","0"
"US_01.02 | Markets > Menu item [Shares]","Language: nl","Country: de / Role: NoAuth","3","0","7","0","0"
"US_11.03.08 | Education > Menu item [Trading Psychology Guide]","Language: nl","Country: au / Role: NoAuth","0","0","0","5","0"
"US_11.02.06 | Education > Menu item [Indices Trading]","Language: nl","Country: au / Role: NoAuth","0","0","0","7","0"
"US_11.02.05 | Education > Menu item [Cryptocurrency trading]","Language: nl","Country: de / Role: NoReg","0","0","0","8","0"
"US_11.01.04 | Education > Menu item [Spread betting guide]","Language: nl","Country: au / Role: Auth","0","0","0","7","0"
"US_11.02.06 | Education > Menu item [Indices Trading]","Language: nl","Country: de / Role: NoAuth","0","0","0","7","0"
"US_01.04 | Markets > Menu item [Indices]","Language: nl","Country: de / Role: NoReg","1","0","9","1","0"
"US_11.02.03 | Education > Menu item [Commodities trading]","Language: nl","Country: ae / Role: NoReg","6","0","0","1","0"
"US_01.05 | Markets > Menu item [Commodities]","Language: nl","Country: au / Role: NoReg","0","10","10","1","0"
"US_11.00.01 | Learn to trade > Menu item [Essentials of trading]","Language: nl","Country: de / Role: Auth","0","0","0","5","0"
"US_11.01.06 | Education > Menu item [Investmate app]","Language: nl","Country: au / Role: NoAuth","1","0","4","0","0"
"US_11.03.01 | Education > Menu item [Trading Strategies Guides]","Language: nl","Country: au / Role: Auth","0","0","0","5","0"
"US_01.04 | Markets > Menu item [Indices]","Language: nl","Country: au / Role: NoReg","2","0","8","1","0"
"US_11.03.08 | Education > Menu item [Trading Psychology Guide]","Language: nl","Country: ae / Role: NoAuth","0","0","0","5","0"
"US_11.03.01 | Education > Menu item [Trading Strategies Guides]","Language: nl","Country: ae / Role: Auth","0","0","0","5","0"
"US_11.02.07 | Education > Menu item [ETF trading]","Language: nl","Country: de / Role: NoReg","0","0","0","4","0"
"US_11.01.07 | Education > Menu item [Glossary of trading terms]","Language: nl","Country: ae / Role: Auth","0","0","3","1","0"
